Song,Artist,Song Lenght (ms),Popularity,Release date,Song Id,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Speechiness,Tempo,Key,Loudness,Mode,Time Signature,Valence
Rucón,Alemán,168560,74,2018-05-16,78M7CiqTpJYoPQKkwjM48Z,0.0196,0.864,0.59,0.59,0.59,0.499,161.989,1,-8.768,1,4,0.579
Tusa,KAROL G,200960,79,2019-11-07,7k4t7uLgtOxPwTpFmtJNTY,0.295,0.803,0.715,0.715,0.715,0.298,101.085,2,-3.28,1,4,0.574
Blinding Lights,The Weeknd,200040,93,2020-03-20,0VjIjW4GlUZAMYd2vXMi3b,0.00146,0.514,0.73,0.73,0.73,0.0598,171.005,1,-5.934,1,4,0.334
Safaera,Bad Bunny,295176,80,2020-02-29,2DEZmgHKAvm41k4J3R2E9Y,0.0103,0.607,0.829,0.829,0.829,0.379,96.172,2,-4.074,1,4,0.685
Hawái,Maluma,199112,81,2020-08-21,1yoMvmasuxZfqHEipJhRbp,0.185,0.783,0.727,0.727,0.727,0.389,180.067,6,-3.454,0,4,0.558
Sigues Con El,Arcángel,226532,71,2019-12-13,7sQKy5vlPQllr0k9IjYJv3,0.11,0.883,0.668,0.668,0.668,0.113,87.972,9,-2.957,1,4,0.676
Yo Perreo Sola,Bad Bunny,172127,78,2020-02-29,0SqqAgdovOE24BzxIClpjw,0.021,0.86,0.758,0.758,0.758,0.0695,97.014,11,-5.16,1,4,0.453
Pa' Olvidarme De Ella,Piso 21,227233,72,2019-09-06,1cVlW9WQiGlFdWUXFdFZGh,0.259,0.728,0.542,0.542,0.542,0.0514,90.016,0,-5.195,1,3,0.637
Rojo,J Balvin,150853,67,2020-02-27,4uziEsK1yiqdauKVDPsmVG,0.15,0.652,0.595,0.595,0.595,0.113,172.27,11,-4.04,1,4,0.444
Si Veo a Tu Mamá,Bad Bunny,170971,82,2020-02-29,41wtwzCZkXwpnakmwJ239F,0.402,0.9,0.603,0.603,0.603,0.0646,129.928,2,-5.313,1,4,0.824
